Track,Feature,Value
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
Closer,Acousticness,0.000242
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
Unforgettable,Acousticness,0.85
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"The Middle",Acousticness,0.0371
"El Ultimo Adiós - Varios Artistas Version",Acousticness,0.641
"Cold Heart - PNAU Remix",Acousticness,0.0354
"The Middle",Acousticness,0.171
Closer,Acousticness,0.469
"The Middle",Acousticness,0.171
"Can't Hold Us (feat. Ray Dalton)",Acousticness,0.0267
Closer,Acousticness,0.028
Happier,Acousticness,0.536
"One Kiss (with Dua Lipa)",Acousticness,0.037
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Acousticness,0.0642
Unforgettable,Acousticness,0.0293
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Acousticness,0.0642
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Acousticness,0.0642
"Eastside (with Halsey & Khalid)",Acousticness,0.549
Shallow,Acousticness,0.371
"Lean On",Acousticness,0.00346
"Can't Hold Us (feat. Ray Dalton)",Acousticness,0.0267
"Enemy (with JID) - from the series Arcane League of Legends",Acousticness,0.237
"STAY (with Justin Bieber)",Acousticness,0.0383
"Peaches (feat. Daniel Caesar & Giveon)",Acousticness,0.321
Shallow,Acousticness,0.371
"Can't Hold Us (feat. Ray Dalton)",Acousticness,0.0267
"Lean On",Acousticness,0.00346
Happier,Acousticness,0.191
Closer,Acousticness,0.414
"Eastside (with Halsey & Khalid)",Acousticness,0.549
"Something Just Like This",Acousticness,0.0498
Closer,Acousticness,0.414
Unforgettable,Acousticness,0.0303
"Lean On",Acousticness,0.00346
"Peaches (feat. Daniel Caesar & Giveon)",Acousticness,0.321
"Roses - Imanbek Remix",Acousticness,0.0143
Señorita,Acousticness,0.0392
"Enemy (with JID) - from the series Arcane League of Legends",Acousticness,0.237
"Sunflower - Spider-Man: Into the Spider-Verse",Acousticness,0.533
Unforgettable,Acousticness,0.0293
"Sunflower - Spider-Man: Into the Spider-Verse",Acousticness,0.533
"One Kiss (with Dua Lipa)",Acousticness,0.037
"Cold Heart - PNAU Remix",Acousticness,0.0354
Happier,Acousticness,0.191
Señorita,Acousticness,0.0392
"Enemy (with JID) - from the series Arcane League of Legends",Acousticness,0.237
"Roses - Imanbek Remix",Acousticness,0.0143
"lovely (with Khalid)",Acousticness,0.934
happier,Acousticness,0.765
"STAY (with Justin Bieber)",Acousticness,0.0383
