Track,Feature,Value
Perfect,Instrumentalness,0
"Uptown Funk (feat. Bruno Mars)",Instrumentalness,0.0000815
"Bang Bang",Instrumentalness,0.0000701
"Somebody That I Used To Know",Instrumentalness,0.000133
"This Is What You Came For",Instrumentalness,0.119
"Thrift Shop (feat. Wanz)",Instrumentalness,0
Perfect,Instrumentalness,0
"Shape of You",Instrumentalness,0
"See You Again (feat. Charlie Puth)",Instrumentalness,0.00000103
"This Is What You Came For",Instrumentalness,0.119
"No Me Conoce - Remix",Instrumentalness,0
"Con Altura",Instrumentalness,0.00325
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)",Instrumentalness,0
"Calma - Remix",Instrumentalness,0
"Bang Bang",Instrumentalness,0
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)",Instrumentalness,0
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",Instrumentalness,0.00000482
"Échame La Culpa",Instrumentalness,0
"Lean On",Instrumentalness,0.00123
"Thrift Shop (feat. Wanz)",Instrumentalness,0
"Somebody That I Used To Know",Instrumentalness,0.000133
"Swalla (feat. Nicki Minaj & Ty Dolla $ign)",Instrumentalness,0
"Bang Bang",Instrumentalness,0.0000701
Perfect,Instrumentalness,0
"See You Again (feat. Charlie Puth)",Instrumentalness,0.00000103
"Thrift Shop (feat. Wanz)",Instrumentalness,0
"Bang Bang",Instrumentalness,0
"Lean On",Instrumentalness,0.00123
"Sin Pijama",Instrumentalness,0.0000456
"Something Just Like This",Instrumentalness,0.0000144
"Sin Pijama",Instrumentalness,0.0000456
"Lean On",Instrumentalness,0.00123
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",Instrumentalness,0.00000482
"Bang Bang",Instrumentalness,0
"Con Altura",Instrumentalness,0.00325
"No Me Conoce - Remix",Instrumentalness,0
"Wheels on the Bus",Instrumentalness,0.0000288
"Something Just Like This",Liveness,0.164
Despacito,Liveness,0.067
"Calma - Remix",Liveness,0.161
Despacito,Liveness,0.067
"Échame La Culpa",Liveness,0.117
"Somebody That I Used To Know",Liveness,0.124
Perfect,Liveness,0.301
"Gangnam Style (강남스타일)",Liveness,0.091
"Wheels On The Bus",Liveness,0.439
Perfect,Liveness,0.105
"Uptown Funk (feat. Bruno Mars)",Liveness,0.0344
